PERIOD_BEGIN_DATE,YEAR,MONTH,SECTOR_SCENARIO_CD,CONSUMER_PRICE_INDEX,PERSONAL_DISPOSABLE_INCOME_REAL_LCU,GDP_NOMINAL_LCU,GDP_REAL_LCU,RETAIL_PRICES_INDEX,SHARE_PRICE_INDEX,UNEMP_RATE
01-03-2019,2019,3,5,96.52,13902.3,23339.13,23476.63,97.98,2937.88,2.93
01-04-2019,2019,4,1,96.57,13995.7,24150.3,24097.1,98.78,3010.35,2.94
01-04-2019,2019,4,2,96.57,13995.7,24150.3,24097.1,98.78,3010.35,2.94
01-04-2019,2019,4,3,96.57,13995.7,24150.3,24097.1,98.78,3010.35,2.94
01-04-2019,2019,4,4,96.57,13995.7,24150.3,24097.1,98.78,3010.35,2.94
01-04-2019,2019,4,5,96.57,13995.7,24150.3,24097.1,98.78,3010.35,2.94
01-05-2019,2019,5,1,96.94,14049.87,24468.4,24530.87,98.74,2981.28,2.96
01-05-2019,2019,5,2,96.94,14049.87,24468.4,24530.87,98.74,2981.28,2.96
01-05-2019,2019,5,3,96.94,14049.87,24468.4,24530.87,98.74,2981.28,2.96
01-05-2019,2019,5,4,96.94,14049.87,24468.4,24530.87,98.74,2981.28,2.96
01-05-2019,2019,5,5,96.94,14049.87,24468.4,24530.87,98.74,2981.28,2.96
01-06-2019,2019,6,1,97.31,14104.03,24786.5,24964.63,98.69,2952.2,2.97
01-06-2019,2019,6,2,97.31,14104.03,24786.5,24964.63,98.69,2952.2,2.97
01-06-2019,2019,6,3,97.31,14104.03,24786.5,24964.63,98.69,2952.2,2.97
01-06-2019,2019,6,4,97.31,14104.03,24786.5,24964.63,98.69,2952.2,2.97
01-06-2019,2019,6,5,97.31,14104.03,24786.5,24964.63,98.69,2952.2,2.97
01-07-2019,2019,7,1,97.68,14158.2,25104.6,25398.4,98.65,2923.13,2.99
01-07-2019,2019,7,2,97.68,14158.2,25104.6,25398.4,98.65,2923.13,2.99
01-07-2019,2019,7,3,97.68,14158.2,25104.6,25398.4,98.65,2923.13,2.99
01-07-2019,2019,7,4,97.68,14158.2,25104.6,25398.4,98.65,2923.13,2.99
01-07-2019,2019,7,5,97.68,14158.2,25104.6,25398.4,98.65,2923.13,2.99
01-08-2019,2019,8,1,98.33,14179.03,25963,26136.7,99.29,2931,3
01-08-2019,2019,8,2,98.33,14179.03,25963,26136.7,99.29,2931,3
01-08-2019,2019,8,3,98.33,14179.03,25963,26136.7,99.29,2931,3
01-08-2019,2019,8,4,98.33,14179.03,25963,26136.7,99.29,2931,3
01-08-2019,2019,8,5,98.33,14179.03,25963,26136.7,99.29,2931,3
01-09-2019,2019,9,1,98.98,14199.87,26821.4,26875,99.93,2938.88,3.02
01-09-2019,2019,9,2,98.98,14199.87,26821.4,26875,99.93,2938.88,3.02
01-09-2019,2019,9,3,98.98,14199.87,26821.4,26875,99.93,2938.88,3.02
01-09-2019,2019,9,4,98.98,14199.87,26821.4,26875,99.93,2938.88,3.02
